Line,Significance,Cultivar-group,Cultivation status,Elite status,IRBB4,IRBB5,IRBB7,IRBB13,IRBB21,IRBB23,IRBB26,IRBB25,IRBB41
BueGaWa IRIS_313-8599,,Japonica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Flipper IRIS_313-8099,,Japonica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Kulon IRIS_313-8155,,Japonica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Lab IRIS_313-12346,,Japonica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Moroberekan-8,,Japonica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Nam-Jam IRIS_313-11924,,Japonica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Nipponbare,,Japonica,Landrace,,?,?,?,[-],[-],?,?,[-],?
Nyao IRIS_313-12340,,Japonica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
ShinchikuIku103 IRIS_313-9346,,Japonica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Taichung 65 IRIS_313-9701,,Japonica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Tres-Meses IRIS_313-8694,,Japonica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Xiushui115 B057,,Japonica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Zhongchao123 CX57,,Japonica,Landrace,,?,[-],?,[-],[-],[-],[+],[-],[-]
CR147-392-4 IRIS_313-11240,,,Cultivar,,?,[-],[-],[-],[-],[-],?,[-],[-]
IRRI110-6,,,Cultivar,,?,[-],?,[-],[-],[-],[+],[-],[-]
Monolaya CX265,,Admix,Cultivar,,[+],[-],[-],[-],[-],[-],[+],[-],[-]
NERICA-1 CX371,,Admix,Cultivar,,?,[-],?,[-],?,[-],?,[-],[-]
NERICA-2 CX372,,Admix,Cultivar,,?,[-],?,[-],?,[-],?,[-],[-]
NERICA-8 CX373,,Admix,Cultivar,,?,[-],?,[-],[-],[-],[+],[-],[-]
NERICA-9 CX374,,Admix,Cultivar,,?,[-],?,[-],[-],[-],[+],[-],[-]
NERICA-L-20 CX376,,Admix,Cultivar,,?,[-],[-],[-],[-],[-],?,[-],[-]
NERICA-L-27 CX377,,Admix,Cultivar,,[+],[-],[-],[-],[-],[-],[+],[-],[-]
TOG5674 CX400,,glaberrima,Cultivar,,?,[-],?,[-],[-],[-],[+],[-],[-]
Co39 SRR3056114,,indica,Cultivar,,[+],[-],?,[-],[-],[-],[+],[-],[-]
Fedearroz 50,,Indica,Cultivar,,?,[-],[-],[-],[-],[-],[+],[-],[-]
Gigante-1,,Indica,Cultivar,,?,[-],[-],[-],[-],[-],?,[-],[-]
Gigante-1,RYMV,Indica,Cultivar,,?,[-],[-],[-],[-],[-],?,[-],[-]
IET1444 CX267,,Indica,Cultivar,,?,[-],[-],[-],[-],[-],[+],[-],[-]
IR20 SRR1743096,,indica,Cultivar,,[+],[-],[-],[-],[-],[-],?,[-],[-]
IR2003-P7-7-4-2 IRIS_313-8392,,Indica,Cultivar,,[+],[-],?,[-],[-],[-],[+],[-],[-]
IR2061-522-6-9 CX206,,Indica,Cultivar,,[+],[-],?,[-],[-],[-],[+],[-],[-]
IR26 SRR1743097,,indica,Cultivar,,?,[-],[-],[-],[-],[-],[-],[-],[-]
IR30 SRR1743098,,indica,Cultivar,,[+],[-],?,[-],[-],[-],?,[-],[-]
IR36 SRR1743111,,indica,Cultivar,,[+],[-],[-],[-],[-],[-],?,[-],[-]
IR50 SRR6122715,,indica,Cultivar,,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IR5657-33-2 IRIS_313-11978,,Indica,Cultivar,,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IR68897B CX281,,Indica,Cultivar,,[+],[-],?,[-],[-],[-],[+],[-],[-]
IRRI 154,,Indica,Cultivar,,[+],?,[-],[-],[-],[-],?,[-],[-]
Manaw-Thuka,,Indica,Cultivar,,?,[-],?,[-],[-],[-],[+],[-],[-]
OM6377 SRR2543338,,indica,Cultivar,,[+],[-],[-],[-],[-],[-],?,[-],[-]
PTB33 CX157,BPH,Indica,Cultivar,,?,[-],[-],[-],[-],[-],[+],[-],[-]
SanHuangZhan No. 2,,Indica,Cultivar,,[+],[-],[-],[-],[-],[-],[+],[-],[-]
Asominori DRR054129,,japonica,Cultivar,,?,?,?,[-],[-],[-],?,[-],?
Genkitsukushi DRR099987,,japonica,Cultivar,,?,[-],?,[-],[-],[-],?,[-],[-]
Hinohikari DRR099986,,japonica,Cultivar,,?,[-],?,[-],[-],[-],?,[-],[-]
Hitomebore DRR099983,,japonica,Cultivar,,?,[-],?,[-],[-],[-],?,[-],[-]
Hoshinoyume DRR099982,,japonica,Cultivar,,?,[-],?,[-],[-],[-],[-],[-],[-]
Koshihikari DRR099981,,japonica,Cultivar,,?,[-],?,[-],[-],[-],?,[-],[-]
Koshihikari-SBL1 DRR099988,,japonica,Cultivar,,?,[-],?,[-],[-],[-],?,[-],[-]
Nipponbare DRR099989,,japonica,Cultivar,,?,[-],?,[-],[-],[-],?,[-],[-]
St1 IRGC30329-1,,Japonica,Cultivar,,?,[-],[-],[-],[-],[-],?,[-],[-]
Tenkomori DRR099985,,japonica,Cultivar,,?,[-],?,[-],[-],[-],?,[-],[-]
Tentakaku DRR099984,,japonica,Cultivar,,?,[-],?,[-],[-],[-],?,[-],[-]
9311-2 SRR1210602,,,Cultivar,,?,[-],[-],[-],[-],[-],?,[-],[-]
9311-3 SRR1210605,,,Cultivar,,?,[-],[-],[-],[-],[-],?,[-],[-]
CL111 SRR1328209,,,Cultivar,,?,[-],?,[-],[-],[-],?,[-],[-]
CL131 SRR1328210,,,Cultivar,,?,[-],?,[-],[-],[-],?,[-],[-]
CL152 SRR1328211,,,Cultivar,,?,[-],?,[-],[-],[-],?,[-],[-]
CL261 SRR1328212,,,Cultivar,,?,[-],?,[-],[-],[-],?,[-],[-]
FACAGRO-406,,,Cultivar,,[+],[-],?,[-],[-],[-],[+],[-],[-]
FACAGRO-64,,,Cultivar,,?,[-],[-],[-],[-],[-],?,[-],[-]
IRRI110-6,,,Cultivar,,?,[-],?,[-],[-],[-],[+],[-],[-]
Milyang23 SRR1622029,,,Cultivar,,?,[-],[-],[-],[-],[-],[-],[-],[-]
Minghui63 SRR1743100,,,Cultivar,,?,[-],?,[-],[-],[-],[+],[-],[-]
Minghui70 SRR1743105,,,Cultivar,,[+],[-],[-],[-],[-],[-],?,[-],[-]
Minghui86 SRR1743106,,,Cultivar,,[+],[-],[-],[-],[-],[-],[+],[-],[-]
Taichung65 SRR1956774,,,Cultivar,,?,[-],?,[-],[-],[-],?,[-],[-]
TN1 SRR921505,,,Cultivar,,?,[-],[-],[-],[-],[-],[+],[-],[-]
ADR52 IRIS_313-11252,,,Landrace,,?,[-],?,[-],[-],[-],[+],[-],[-]
Malogbana IRIS_313-10729,,Admix,Landrace,,?,[-],?,[-],?,[-],?,[-],[-]
Daghad-Deshi-TK,,Aus,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Dhola Aman IRIS_313-9156,,Aus,Landrace,,?,[-],[-],[-],[-],[-],?,[-],[-]
Dular SRR2056128,,Aus,Landrace,,[-],[+],?,[-],[-],[-],?,[-],[-]
Fanhaopi B221,,Aus,Landrace,,?,[-],?,[-],[-],[-],[-],[-],[-]
Hasawi,,Aus,Landrace,,?,[-],?,[-],[-],[-],[-],[-],[-]
KaliAus-6,,Aus,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Kasalath,,Aus,Landrace,,?,[+],?,[-],[-],[-],?,[-],[-]
Kasalath DRR099990,,Aus,Landrace,,?,[+],?,[-],[-],[-],?,[-],[-]
Khama 1183,,Aus,Landrace,,?,[+],?,[-],[-],[-],?,[-],[+]
Khao-Nan IRIS_313-11922,,Aus,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Kharsu IRIS_313-8398,,Aus,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
KHO-Chin,,Aus,Landrace,,[-],[-],?,[-],[-],[-],[+],[-],[-]
Malchi IRIS_313-11602,,Aus,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
MaZhan-Red,,Aus,Landrace,,[-],[-],[-],[-],[-],[-],[+],[-],[-]
N22 CX368,,Aus,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
N22 IRIS_313-10150,,Aus,Landrace,,?,[-],?,[-],?,[-],?,[-],[-]
N22,,Aus,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
N22-Arvind,,Aus,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Nanhi Tobias,,Aus,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Rayada IRIS_313-9108,,Aus,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Basmati Sufaid 100,,Basmati,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Basmati Surkh 161,,Basmati,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Basmati1 IRIS_313-8656,,Basmati,Landrace,,[-],[-],?,[-],[-],[-],?,[-],[-]
Basmati370 IRGC27820 SRR9610469,,Basmati,Landrace,,?,[-],?,[-],[-],[-],[+],[-],[-]
Basmati385 CX72,,Basmati,Landrace,,?,[-],?,[-],[-],[-],[+],[-],[-]
DahrdunBasmati IRGC67705 SRR9610470,,Basmati,Landrace,,?,[-],?,[-],[-],[-],[+],[-],[-]
Pankhari203 IRIS_313-9083,,Basmati,Landrace,,[-],[-],?,[-],[-],[-],[+],[-],[-]
Rato Basmati,,Basmati,Landrace,,?,[-],?,[-],[-],[-],[+],[-],[-]
Sadri-rice-1 CX104,,Basmati,Landrace,,[-],[-],?,[-],[-],[-],?,[-],[-]
IRGC104022 O_ glaberrima,,glaberrima,Landrace,,?,?,?,?,?,?,?,[-],?
TOG6542 CX402,,glaberrima,Landrace,,?,[-],?,[-],?,[-],?,[-],[-]
TOG7291 CX401,,glaberrima,Landrace,,?,[-],?,[-],[-],[-],[+],[-],[-]
Abhaya-4,,Indica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Modan-1 IRGC49898,,Indica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Muguanuo B086,,Japonica,Landrace,,[-],[-],[-],[-],[-],[-],?,[-],[-]
A69-1,,,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Araure1 IRIS_313-10289,,,Landrace,,?,[-],[-],[-],[-],[-],?,[-],[-]
ARC12920,,,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
ChiemTongNhat-1,,,Landrace,,?,?,?,?,?,?,[-],[-],?
ChungYi,,,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
CI9445,,,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
DeeGeoWooGen SRR1743093,,,Landrace,,?,[-],[-],[-],[-],[-],[-],[-],[-]
Doddi CX99,,,Landrace,,?,[-],[-],[-],[-],[-],[+],[-],[-]
Don IRIS_313-12258,LOX3,,Landrace,,[-],[-],?,[-],[-],[-],?,[-],[-]
Guandong194-SoftRice,,,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
JagliBoro,,,Landrace,,?,[-],?,[-],?,[-],?,[-],[-]
Kalamon-113,,,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Kaliboro-600,,,Landrace,,?,[-],[+],[-],[-],[-],?,[-],[-]
KaoSongHai IRIS_313-11623,LOX3,,Landrace,,?,[-],?,[-],[-],[-],[+],[-],[-]
KeeripalaChillPaddy IRIS_313-8559,,,Landrace,,?,[-],?,[-],[-],[-],[+],[-],[-]
KhaoLouang IRIS_313-12351,LOX3,,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
KhaoMon IRIS_313-9182,,,Landrace,,[-],[-],?,[-],[-],[-],?,[-],[-]
KoiyaDigha,,,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Leuang IRIS_313-12200,LOX3,,Landrace,,[+],[-],?,[-],[-],[-],[+],[-],[-]
Milagrosa,,,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Nangeng46-SoftRice,,,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
RadenKamunting,,,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Ratua81 IRIS_313-10549,,,Landrace,,?,[-],?,[-],[-],[-],[+],[-],[-]
TaiZhongXian-10,,,Landrace,,?,[-],[-],[-],[-],[-],[-],[-],[-]
TekSiChut CX102,,,Landrace,,?,[-],[-],[-],[-],[-],?,[-],[-]
Swarnalata IRGC33964,BPH,,Landrace,,?,[-],[-],[-],[-],[-],?,[-],[-]
LocRuong IRGC56092,BPH,,Landrace,,?,[-],?,[-],?,[-],[+],[-],[-]
Towada IRGC8318,Cold,,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
