Line,Significance,Cultivar-group,Cultivation status,Elite status,IRBB4,IRBB5,IRBB7,IRBB13,IRBB21,IRBB23,IRBB26,IRBB25,IRBB41
BR11 CX2,,Indica,Cultivar,,?,[-],[-],[-],[-],[-],[-],[-],[-]
IR68552-55-3-2 CX42,,Indica,Cultivar,,?,[-],[-],[-],[-],[-],[+],[-],[-]
Kalin,,Japonica,Landrace,Ghd7-0,?,[-],?,[-],[-],[-],?,[-],[-]
CRdhan405,,Indica,Cultivar,Salinity,[+],[-],?,[-],[-],[-],[+],[-],[-]
IRRI147,,Indica,Cultivar,Salinity,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IRRI147-23,,Indica,Cultivar,Salinity,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IRRI171-3,,Indica,Cultivar,Salinity,[+],[-],[-],[-],[-],[-],[+],[-],[-]
PSB-Rc86 IRIS_313-10237,,Indica,Cultivar,Salinity,[+],[-],[-],[-],[-],[-],[+],[-],[-]
PSB-Rc88 IRIS_313-10238,,Indica,Cultivar,Salinity,[+],[-],[-],[-],[-],[-],[+],[-],[-]
SR26B IRIS_313-10640,,Indica,Cultivar,Salinity,?,[-],?,[-],[-],[-],[+],[-],[-]
Sadri,,Basmati,Landrace,Salinity,[-],[-],?,[-],[-],[-],[+],[-],[-]
Capsule,,Indica,Landrace,Salinity,?,[-],[-],[-],[-],[-],[+],[-],[-]
Daw Hawm,,Indica,Landrace,Salinity,?,[-],[-],[-],[-],[-],[+],[-],[-]
JumboJet-1,,Indica,Landrace,Salinity,?,[-],[-],[-],[-],[-],?,[-],[-]
NonaBokra IRIS_313-7736,,Indica,Landrace,Salinity,?,[-],?,[-],[-],[-],?,[-],[-]
Pokkali 26869,,Indica,Landrace,Salinity,?,[-],?,[-],[-],[-],?,[-],[-]
Eratio,,Japonica,Landrace,Salinity,?,[-],?,[-],[-],[-],?,[-],[-]
IR45427-2B-2-2B-1-1 IRIS_313-15899,,Indica,Cultivar,,[+],[-],?,[-],[-],[-],?,[-],[-]
Merle IRIS_313-8215,,Basmati,Landrace,,?,[-],?,[-],[-],[-],[+],[-],[-]
NCS194 IRIS_313-9605,,Indica,Landrace,,?,[-],[-],[-],[-],[-],?,[-],[-]
NCS237 IRIS_313-9492,,Indica,Landrace,,?,[-],?,[-],[-],[-],[+],[-],[-]
Pradoo-Daeng IRIS_313-11509,,Indica,Landrace,,?,[-],[-],[-],[-],[-],[+],[-],[-]
Sadok IRIS_313-9582,,Indica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Sunar IRIS_313-11011,,Indica,Landrace,,?,[-],?,[-],?,[-],[+],[-],[-]
Tjere-Ener IRIS_313-10819,,Indica,Landrace,,?,[-],?,[-],[-],[-],[+],[-],[-]
Mae-Yeu IRIS_313-9575,,Japonica,Landrace,,?,[-],?,[-],[-],?,?,[-],[-]
SonaPatnai IRIS_313-9120,,Japonica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Supa-2,,Indica,Cultivar,Premium quality,?,[-],[-],[-],[-],[-],?,[-],[-]
Dinorado,,Japonica,Cultivar,Premium quality,?,[-],?,[-],[-],[-],?,[-],[-]
KDML105 CX154,,Indica,Landrace,Premium quality,?,[-],[-],[-],[-],[-],[+],[-],[-]
KDML105 IRIS_313-8253,,Indica,Landrace,Premium quality,?,[-],[-],[-],[-],[-],[+],[-],[-]
Khao Dawk Mali Tia IRIS_313-11386,,Indica,Landrace,Premium quality,?,[-],[-],[-],[-],[-],[+],[-],[-]
PhakaRumduol,,Indica,Landrace,Premium quality,?,[-],?,[-],[-],[-],[+],[-],[-]
RD15 IRIS_313-10151,,Indica,Landrace,Premium quality,?,[-],[-],[-],[-],[-],[+],[-],[-]
Annongwangeng-B B250,,Japonica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Chimao,,Japonica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Kalin,,Japonica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Tepuke,,Japonica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
IAC47 CX241,,,Cultivar,Elite,?,[-],?,[-],[-],[-],[+],[-],[-]
Tongil-101,,Admix,Cultivar,Elite,?,[-],[-],[-],[-],[-],[-],[-],[-]
Tongil-78,,Admix,Cultivar,Elite,?,[-],?,[-],[-],[-],[-],[-],[-]
Apo NSIC-Rc9 CX235,,Indica,Cultivar,Elite,?,[-],[-],[-],[-],[-],?,[-],[-]
ASD1,,Indica,Cultivar,Elite,?,[-],[-],[-],[-],[-],[+],[-],[-]
Avo IRIS_313-8288,,Indica,Cultivar,Elite,?,[-],[-],[-],[-],[-],?,[-],[-]
BG 300 CX34,,Indica,Cultivar,Elite,[-],[-],[-],[-],[-],[-],[+],[-],[-]
BG304 CX76,,Indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
BR29-1-3,,Indica,Cultivar,Elite,?,[-],[-],[-],[-],[-],?,[-],[-]
CiherangSub1AG1-1,,Indica,Cultivar,Elite,?,[-],?,[-],[-],?,?,[-],[-]
CSR28-1,,Indica,Cultivar,Elite,?,[-],?,[-],[-],[-],?,[-],[-]
G Zhenshan 97B B156,,Indica,Cultivar,Elite,?,[-],[-],[-],[-],[-],?,[-],[-]
Hnankar CX31,,Indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],?,[-],[-]
IR02A127,,Indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IR03A568,,Indica,Cultivar,Elite,[+],[-],?,[-],[-],[-],[+],[-],[-]
IR05N412,,Indica,Cultivar,Elite,?,[+],[-],[-],[-],[-],?,[-],[-]
IR06A150,,Indica,Cultivar,Elite,?,[-],[-],[-],[-],[-],[+],[-],[-]
IR06G113 CX226,,Indica,Cultivar,Elite,?,[-],[-],[-],[-],[-],[+],[-],[-]
IR06N209,,Indica,Cultivar,Elite,?,[+],[-],[-],[-],[-],?,[-],?
IR07A234,,Indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],?,[-],[-]
IR07F290,,Indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],?,[-],[-]
IR08A172,,Indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IR08N194,,Indica,Cultivar,Elite,?,[-],[-],[-],[-],[-],[+],[-],[-]
IR09A136,,Indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IR09A138,,Indica,Cultivar,Elite,?,[-],?,[-],[-],?,[+],[-],[-]
IR09F436,,Indica,Cultivar,Elite,[+],[-],?,[-],[-],[-],[+],[-],[-]
IR09N190,,Indica,Cultivar,Elite,[+],?,[-],[-],[-],[-],?,[-],[-]
IR09N496,,Indica,Cultivar,Elite,?,[+],[-],[-],[-],?,?,[-],[-]
IR09N514,,Indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IR09N530,,Indica,Cultivar,Elite,?,[-],[-],[-],[-],[-],?,[-],[-]
IR09N531,,Indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IR09N538,,Indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IR102572B-1,,Indica,Cultivar,Elite,?,[-],[-],[-],[-],[-],?,[-],[-]
IR105687B-1,,Indica,Cultivar,Elite,?,[-],[-],[-],[-],[-],?,[-],[-]
IR10F365,,Indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IR10F365-4,,Indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],?,[-],[-]
IR10N108,,Indica,Cultivar,Elite,[+],[+],[-],[-],[-],?,[+],[-],[-]
IR127842B-1,,Indica,Cultivar,Elite,[+],?,?,[-],[-],[-],?,[-],[-]
IR58025B-1,,Indica,Cultivar,Elite,?,[-],?,[-],[-],?,[-],[-],[-]
IR64-GB,,Indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IR66946-3R-178-1-1,,Indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IR73004-3-1-2-1,,Indica,Cultivar,Elite,[+],[+],[-],[-],[-],[-],[+],[-],[-]
IR74 CX296,,Indica,Cultivar,Elite,?,[-],[-],[-],[-],[-],[+],[-],[-]
IRRI119,,Indica,Cultivar,Elite,[+],[-],?,[-],[-],[-],?,[-],[-]
IRRI123,,Indica,Cultivar,Elite,?,[+],[-],[-],[-],[-],?,[-],[-]
IRRI146 IRIS_313-15902,,Indica,Cultivar,Elite,?,[-],[-],[-],[-],[-],?,[-],[-]
IRRI146,,Indica,Cultivar,Elite,?,?,[-],[-],[-],?,?,[-],[-]
IRRI154,,Indica,Cultivar,Elite,?,[+],[-],[-],[-],[-],?,[-],[-]
IRRI168,,Indica,Cultivar,Elite,?,[-],[-],[-],[-],[-],?,[-],[-]
IRRI181,,Indica,Cultivar,Elite,[+],[-],?,[-],[-],[-],[+],[-],[-]
Komboka-6,,Indica,Cultivar,Elite,[+],[-],?,[-],[-],[-],?,[-],[-]
Matatag2 CX399,,Indica,Cultivar,Elite,?,[-],[-],[-],[-],[-],?,[-],[-]
MTU1010-6,,Indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
NSIC Rc216,,Indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
NSIC Rc400,,Indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
NSIC Rc402,,Indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
OM1706 CX80,,Indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
