id,databasecode,samplecode,isolatename,district,province,country,latitude,longitude,year,ricevarsource,ricegrowthstage,percdiseasedleaf,institute,sampletype,runcode,lineage,AxooPopn
4064,XO2023-00336,XO2023-00336,PRRI_102023_0097,Dingle,Iloilo,Philippines,10.952217,122.579946,2023,NSIC Rc 216,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_02,Axoo_07
4065,XO2023-00337,XO2023-00337,PRRI_102023_0098,Dingle,Iloilo,Philippines,10.952217,122.579946,2023,NSIC Rc 222,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_02,Axoo_07
4066,XO2023-00338,XO2023-00338,PRRI_102023_0099,Dingle,Iloilo,Philippines,10.952217,122.579946,2023,NSIC Rc 222,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_01,L1_Unresolved
4067,XO2023-00339,XO2023-00339,PRRI_102023_0100,Dingle,Iloilo,Philippines,10.952217,122.579946,2023,NSIC Rc 222,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_01,L1_Unresolved
4068,XO2023-00340,XO2023-00340,PRRI_102023_0101,Dingle,Iloilo,Philippines,10.952217,122.579946,2023,NSIC Rc 506,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,NA,NA
4069,XO2023-00341,XO2023-00341,PRRI_102023_0102,Dingle,Iloilo,Philippines,10.952217,122.579946,2023,NSIC Rc 506,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_01,L1_Unresolved
4070,XO2023-00342,XO2023-00342,PRRI_102023_0103,Dingle,Iloilo,Philippines,10.952217,122.579946,2023,NSIC Rc 216,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_02,Axoo_07
4071,XO2023-00343,XO2023-00343,PRRI_102023_0104,Dingle,Iloilo,Philippines,10.952217,122.579946,2023,NSIC Rc 216,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_02,Axoo_07
4072,XO2023-00344,XO2023-00344,PRRI_102023_0105,Dingle,Iloilo,Philippines,10.952217,122.579946,2023,NSIC Rc 216,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_01,L1_Unresolved
4073,XO2023-00345,XO2023-00345,PRRI_102023_0106,Dingle,Iloilo,Philippines,10.952217,122.579946,2023,NSIC Rc 222,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_01,L1_Unresolved
4074,XO2023-00346,XO2023-00346,PRRI_102023_0107,Dingle,Iloilo,Philippines,10.952217,122.579946,2023,NSIC Rc 222,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_01,L1_Unresolved
4075,XO2023-00347,XO2023-00347,PRRI_102023_0108,Dingle,Iloilo,Philippines,10.952217,122.579946,2023,NSIC Rc 222,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_02,Axoo_07
4076,XO2023-00348,XO2023-00348,PRRI_102023_0109,Dingle,Iloilo,Philippines,10.952217,122.579946,2023,NSIC Rc 506,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4077,XO2023-00349,XO2023-00349,PRRI_102023_0110,Dingle,Iloilo,Philippines,10.952217,122.579946,2023,NSIC Rc 506,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_02,Axoo_07
4078,XO2023-00350,XO2023-00350,PRRI_102023_0111,Dingle,Iloilo,Philippines,10.952217,122.579946,2023,NSIC Rc 216,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_02,Axoo_07
4079,XO2023-00351,XO2023-00351,PRRI_102023_0112,Dingle,Iloilo,Philippines,10.952217,122.579946,2023,NSIC Rc 216,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_02,Axoo_07
4080,XO2023-00352,XO2023-00352,PRRI_102023_0113,Dingle,Iloilo,Philippines,10.952217,122.579946,2023,NSIC Rc 216,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_02,Axoo_07
4081,XO2023-00353,XO2023-00353,PRRI_102023_0114,Dingle,Iloilo,Philippines,10.952217,122.579946,2023,NSIC Rc 222,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_01,L1_Unresolved
4082,XO2023-00354,XO2023-00354,PRRI_102023_0115,Dingle,Iloilo,Philippines,10.952217,122.579946,2023,NSIC Rc 222,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_02,Axoo_07
4083,XO2023-00355,XO2023-00355,PRRI_102023_0116,Dingle,Iloilo,Philippines,10.952217,122.579946,2023,NSIC Rc 222,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_02,Axoo_07
4084,XO2023-00356,XO2023-00356,PRRI_102023_0117,Dingle,Iloilo,Philippines,10.952217,122.579946,2023,NSIC Rc 506,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4085,XO2023-00357,XO2023-00357,PRRI_102023_0118,Dingle,Iloilo,Philippines,10.952217,122.579946,2023,NSIC Rc 506,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_02,Axoo_07
4086,XO2023-00358,XO2023-00358,PRRI_102023_0119,Dingle,Iloilo,Philippines,10.952217,122.579946,2023,NSIC Rc 10,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,NA,NA
4087,XO2023-00359,XO2023-00359,PRRI_102023_0120,Sibalom,Antique,Philippines,11.170507,122.083333,2023,NSIC RC 222,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_02,Axoo_07
4088,XO2023-00360,XO2023-00360,PRRI_102023_0121,Sibalom,Antique,Philippines,11.170507,122.083333,2023,NSIC RC 222,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4089,XO2023-00361,XO2023-00361,PRRI_102023_0122,Sibalom,Antique,Philippines,11.170507,122.083333,2023,NSIC RC 222,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4090,XO2023-00362,XO2023-00362,PRRI_102023_0123,Sibalom,Antique,Philippines,11.170507,122.083333,2023,NSIC Rc 10,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4091,XO2023-00363,XO2023-00363,PRRI_102023_0124,Sibalom,Antique,Philippines,11.170507,122.083333,2023,NSIC Rc 506,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,NA,NA
4092,XO2023-00364,XO2023-00364,PRRI_102023_0125,Sibalom,Antique,Philippines,11.170507,122.083333,2023,NSIC Rc 216,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
