VeniceCode,Database code,Sample Code,Isolate name,District/Town,Province,Country,Year,Rice variety source,Rice growth stage,"Diseased leaf area, percent",Institute,Sample type,Run code,Lineage,Axoo_Population
VCE_00004,XO2020-1-105,RO_2019_105,Epi11-NSIC Rc216,Los Banos,Laguna,Philippines,2019,NSIC Rc216,Ripening,EPI11,International Rice Research Institute,Leaf,XO2020-1,Lin_2,AXoo5
VCE_00005,XO2020-1-105,RO_2019_105,Epi11-NSIC Rc216,Los Banos,Laguna,Philippines,2019,NSIC Rc216,Ripening,EPI11,International Rice Research Institute,Leaf,XO2020-1,Lin_2,AXoo9
VCE_00006,XO2020-1-106,RO_2019_106,Epi12-NSIC Rc216,Los Banos,Laguna,Philippines,2019,NSIC Rc216,Ripening,EPI12,International Rice Research Institute,Leaf,XO2020-1,Lin_2,AXoo5
VCE_00007,XO2020-1-106,RO_2019_106,Epi12-NSIC Rc216,Los Banos,Laguna,Philippines,2019,NSIC Rc216,Ripening,EPI12,International Rice Research Institute,Leaf,XO2020-1,Lin_2,AXoo7
VCE_00009,XO2020-1-108,RO_2019_108,Epi14-NSIC Rc216,Los Banos,Laguna,Philippines,2019,NSIC Rc216,Ripening,EPI14,International Rice Research Institute,Leaf,XO2020-1,Lin_2,AXoo5
VCE_00010,XO2020-1-108,RO_2019_108,Epi14-NSIC Rc216,Los Banos,Laguna,Philippines,2019,NSIC Rc216,Ripening,EPI14,International Rice Research Institute,Leaf,XO2020-1,Lin_2,AXoo9
