vCode,databaseCode,sampleCode,isolateName,district,province,country,year,riceVarSource,riceGrowthStage,percDiseasedLeaf,institute,sampleType,runCode,lineage,AxooPopn,latitude,longitude
VCE_01012,XO2020-2-564,VXO_188,VXO_188,Dien Bien,Dien Bien,Vietnam,2018.0,,,,Agricultural Genetics Institute,DNA,XO2020-2,Lin_3,AXoo12,,
VCE_01013,XO2020-2-565,VXO_189,VXO_189,Dien Bien,Dien Bien,Vietnam,2018.0,,,,Agricultural Genetics Institute,DNA,XO2020-2,Lin_3,AXoo12,,
VCE_00157,XO2020-1-256,RO_2019_256,BB 89,Dike OO,Bago Region,Myanmar,2015.0,Sinthukha,,,Department of Agricultural Research,Leaf,XO2020-1,Lin_2,AXoo9,,
VCE_02318,Xo2021-2-24,BXo 2624,BXo 2624,Dinajpur sadar,Rangpur,Bangladesh,2019.0,BRRI dhan28,Reproductive stage,0.5,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_2,AXoo6,,
VCE_02319,Xo2021-2-24,BXo 2624,BXo 2624,Dinajpur sadar,Rangpur,Bangladesh,2019.0,BRRI dhan28,Reproductive stage,0.5,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_2,AXoo7,,
VCE_02330,Xo2021-2-25,BXo 2625,BXo 2625,Dinajpur sadar,Rangpur,Bangladesh,2019.0,BRRI dhan29,Reproductive stage,0.9,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_2,AXoo6,,
VCE_02331,Xo2021-2-25,BXo 2625,BXo 2625,Dinajpur sadar,Rangpur,Bangladesh,2019.0,BRRI dhan29,Reproductive stage,0.9,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_2,AXoo7,,
VCE_02342,Xo2021-2-26,BXo 2626,BXo 2626,Dinajpur sadar,Rangpur,Bangladesh,2019.0,Hybrid mala,Reproductive stage,0.85,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_2,AXoo6,,
VCE_02343,Xo2021-2-26,BXo 2626,BXo 2626,Dinajpur sadar,Rangpur,Bangladesh,2019.0,Hybrid mala,Reproductive stage,0.85,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_2,AXoo7,,
VCE_02081,Xo2021-1-73,VXO_308,VXO_308,Doan Hung,Phu Tho,Vietnam,2019.0,,,,Agricultural Genetics Institute,DNA,XO2021-1,Lin_3,AXoo12,,
VCE_02092,Xo2021-1-74,VXO_310,VXO_310,Doan Hung,Phu Tho,Vietnam,2019.0,,,,Agricultural Genetics Institute,DNA,XO2021-1,Lin_3,AXoo12,,
VCE_01476,Xo2021-1-29,VXO_133,VXO_133,Dong Hung,Thai Binh,Vietnam,2016.0,,,,Agricultural Genetics Institute,DNA,XO2021-1,Lin_3,AXoo12,,
VCE_01648,Xo2021-1-4,VXO_62,VXO_62,Dong Hung,Thai Binh,Vietnam,2016.0,,,,Agricultural Genetics Institute,DNA,XO2021-1,Lin_3,AXoo12,,
VCE_01784,Xo2021-1-5,VXO_67,VXO_67,Dong Hung,Thai Binh,Vietnam,2016.0,,,,Agricultural Genetics Institute,DNA,XO2021-1,Lin_3,,,
VCE_01769,Xo2021-1-49,VX0_205,VX0_205,Dong Minh,Thanh Hoa,Vietnam,2019.0,,,,Agricultural Genetics Institute,DNA,XO2021-1,Lin_3,AXoo12,,
VCE_01785,Xo2021-1-50,VXO_206,VXO_206,Dong Minh,Thanh Hoa,Vietnam,2019.0,,,,Agricultural Genetics Institute,DNA,XO2021-1,Lin_3,AXoo12,,
VCE_01824,Xo2021-1-53,VXO_224,VXO_224,Dong Tan,Thanh Hoa,Vietnam,2019.0,,,,Agricultural Genetics Institute,DNA,XO2021-1,Lin_3,AXoo12,,
VCE_01835,Xo2021-1-54,VXO_225,VXO_225,Dong Tan,Thanh Hoa,Vietnam,2019.0,,,,Agricultural Genetics Institute,DNA,XO2021-1,Lin_3,AXoo12,,
VCE_01736,Xo2021-1-46,VXO_201,VXO_201,Dong Tien,Thanh Hoa,Vietnam,2019.0,,,,Agricultural Genetics Institute,DNA,XO2021-1,Lin_3,AXoo12,,
VCE_01753,Xo2021-1-47,VXO_202,VXO_202,Dong Tien,Thanh Hoa,Vietnam,2019.0,,,,Agricultural Genetics Institute,DNA,XO2021-1,Lin_3,AXoo12,,
VCE_02466,Xo2021-2-44,BXo 2644,BXo 2644,Dubail,Dhaka,Bangladesh,2019.0,Hybrid,Reproductive stage,0.5,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_2,AXoo9,,
